,Unnamed: 0,Application Number,Orig Funding Request,Cmtd Funding Request,Consulting Firm's Name,Consulting Firm's Email,Applicant Type,Applicant City,Applicant State,Orig Discount,Cmtd Discount,Service Type,Function,funding_gap
852580,852580,170061576,5500,5500,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
1105720,1105720,170063432,3656,3656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,OXNARD,CA,80 %,80 %,Internal Connections,Racks,0
805149,805149,170077225,10380,10380,Csm Consulting Inc.,kfriends@csmcentral.com,School District,FALLBROOK,CA,90 %,90 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1501710,1501710,170060551,19792,7519,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LUCERNE VALLEY,CA,85 %,85 %,Internal Connections,Racks,12273
658747,658747,170047995,131299,131299,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85 %,85 %,Internal Connections,Switches,0
962758,962758,170061576,583,583,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Cabling,0
1548759,1548759,170065593,11870,11870,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Internal Connections,Wap,0
558335,558335,170064796,137570,137570,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Internal Connections,Ups/Battery Backup,0
1398013,1398013,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Wireless Controller,17007
1592940,1592940,170056586,6135,6135,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ANAHEIM,CA,80 %,80 %,Internal Connections,Wap,0
1251223,1251223,170064914,35537,35537,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,Switches,0
1656975,1656975,170072786,381666,381666,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PERRIS,CA,90 %,90 %,Internet Access And/Or Telecommunications,Other,0
556065,556065,170064796,53204,53204,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,0
622004,622004,170048326,7650,0,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85 %,85 %,Internal Connections,Wap,7650
1715883,1715883,170057083,15648,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,DALY CITY,CA,80 %,80 %,Internal Connections,Wap,15648
1384688,1384688,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,17007
1018210,1018210,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
647555,647555,170051947,20548,20548,Merced County Office Of Education,erate@mcoe.org,School District,WINTON,CA,85 %,85 %,Internet Access And/Or Telecommunications,Other,0
826845,826845,170058874,8148,8148,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40 %,40 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
816758,816758,170058874,38754,38754,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40 %,40 %,Basic Maintenance Of Internal Connections,Wap,0
1274629,1274629,170064914,37734,37734,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
261848,261848,170080148,60916,58366,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85 %,85 %,Internal Connections,Wap,2550
625036,625036,170048326,7650,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85 %,85 %,Internal Connections,Wap,7650
1420333,1420333,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,17007
1417739,1417739,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Cabling,17007
935486,935486,170061576,5500,5500,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
1064005,1064005,170055988,8807,8807,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,SANTA PAULA,CA,30 %,30 %,Internet Access And/Or Telecommunications,Cellular Voice,0
1591112,1591112,170056586,136585,136585,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ANAHEIM,CA,80 %,80 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
1517214,1517214,170065593,1360,1360,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
238369,238369,170052893,1108,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,Consortium,LOS ANGELES,CA,30 %,30 %,Internal Connections,Cabling,1108
1116501,1116501,170058708,67449,67449,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,85 %,85 %,Internal Connections,Switches,0
513639,513639,170052240,63555,58607,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",4948
1219142,1219142,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
657432,657432,170047995,131640,131640,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85 %,85 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
449335,449335,170064063,1679,0,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80 %,80 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,1679
1105599,1105599,170063432,3656,3656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,OXNARD,CA,80 %,80 %,Internal Connections,Racks,0
937896,937896,170061576,35751,35751,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
1129548,1129548,170051302,35829,35829,Csm Consulting Inc.,kfriends@csmcentral.com,School District,CLOVIS,CA,60 %,60 %,Basic Maintenance Of Internal Connections,Switches,0
913727,913727,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
607562,607562,170048326,7922,7922,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85 %,85 %,Internal Connections,Cabling,0
550483,550483,170064796,53745,53745,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,0
1229093,1229093,170064914,53149,53149,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1077496,1077496,170049302,34263,34263,E-Rate Online Llc,msagnella@erateportal.com,School District,PASO ROBLES,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Racks,0
1461912,1461912,170072362,478978,478978,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COVINA,CA,80 %,80 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
400027,400027,170052935,21678,21678,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VISTA,CA,80 %,80 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
1129679,1129679,170051302,35829,35829,Csm Consulting Inc.,kfriends@csmcentral.com,School District,CLOVIS,CA,60 %,60 %,Internal Connections,Wap,0
952643,952643,170061576,30251,30251,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Cabling,0
748760,748760,170049563,6969,6969,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30 %,30 %,Basic Maintenance Of Internal Connections,Switches,0
1209303,1209303,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Internal Connections,Switches,0
974984,974984,170061576,1605,1605,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
928801,928801,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
577036,577036,170064796,27858,27858,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Internal Connections,Wap,0
501946,501946,170058608,1876,1876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,W SACRAMENTO,CA,20 %,20 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
1449738,1449738,170074618,2514,845,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,1669
341958,341958,170047188,39129,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90 %,90 %,Internet Access And/Or Telecommunications,Dark Fiber,39129
1088490,1088490,170049302,38469,38469,E-Rate Online Llc,msagnella@erateportal.com,School District,MADERA,CA,85 %,85 %,Internal Connections,Cabling,0
819486,819486,170058874,6990,6990,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40 %,40 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
1331194,1331194,170066253,71420,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Ups/Battery Backup,71420
1601331,1601331,170059275,2358,2359,Merced County Office Of Education,erate@mcoe.org,School District,MERCED,CA,30 %,30 %,Internal Connections,Ups/Battery Backup,-1
1217520,1217520,170074621,7683,7683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Internal Connections,Switches,0
229350,229350,170051028,644407,421639,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,84 %,84 %,Internet Access And/Or Telecommunications,Self-Provisioning,222768
1478498,1478498,170072419,23864,3697,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN LEANDRO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",20167
1328162,1328162,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,17007
991997,991997,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
390539,390539,170067963,6239,0,The Miller Institute For Learning With Technology,emiller@learningtech.org,School,E. Palo Alto,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",6239
1589689,1589689,170061840,5012,5012,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ROWLANDS HEIGHTS,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Router,0
533115,533115,170057989,9788,9788,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,90 %,90 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
1416056,1416056,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,17007
1131449,1131449,170054955,69495,69495,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JACKSON,CA,70 %,70 %,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
749785,749785,170049563,3264,3264,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30 %,30 %,Basic Maintenance Of Internal Connections,Switches,0
274100,274100,170080148,23460,20910,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,DOWNEY,CA,85 %,85 %,Internal Connections,Router,2550
916401,916401,170061576,291,291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Cabling,0
1547521,1547521,170065593,11870,11870,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
1139322,1139322,170054955,34484,34484,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JACKSON,CA,70 %,70 %,Internal Connections,Switches,0
1583229,1583229,170072577,21062,21057,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PERRIS,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,5
315747,315747,170081448,11650,11650,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Consortium,LOS ANGELES,CA,85 %,85 %,Internal Connections,Racks,0
1348916,1348916,170066253,5380,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,5380
1112694,1112694,170058708,67792,67792,Csm Consulting Inc.,kfriends@csmcentral.com,School District,VICTORVILLE,CA,85 %,85 %,Internal Connections,Wap,0
928010,928010,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
1452073,1452073,170074618,1084,892,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Internal Connections,Wap,192
1185655,1185655,170062790,1961,1961,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MODESTO,CA,70 %,70 %,Managed Internal Broadband Services,Existing Equipment,0
396546,396546,170054941,191,191,Funds For Learning,jharrington@fundsforlearning.com,School,LOS ANGELES,CA,30 %,30 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
630226,630226,170048326,157034,106856,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85 %,85 %,Internal Connections,Wireless Controller,50178
277900,277900,170081400,39490,7906,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84 %,84 %,Basic Maintenance Of Internal Connections,Cabling,31584
560905,560905,170064796,58717,58717,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Internal Connections,Ups/Battery Backup,0
842911,842911,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
1413189,1413189,170066253,17007,0,Rdv Consulting Services,rick.delvalle@yahoo.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,17007
720700,720700,170054974,57401,54742,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,2659
360219,360219,170061665,624,624,E-Rate Consulting Llc,richard@erateconsulting.org,School,LOS ANGELES,CA,20 %,20 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1577573,1577573,170052636,9094,9094,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,SAN JOSE,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
1614727,1614727,170064043,51888,51888,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ACTON,CA,70 %,70 %,Internal Connections,Switches,0
1104113,1104113,170063432,3656,3656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,OXNARD,CA,80 %,80 %,Internal Connections,Racks,0
1136933,1136933,170054955,5942,5942,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JACKSON,CA,70 %,70 %,Internal Connections,"Antennas, Connectors, And Related Components",0
548085,548085,170064796,1912,1912,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,20 %,20 %,Internal Connections,Ups/Battery Backup,0
1260039,1260039,170064914,15641,15641,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
522338,522338,170054726,23933,23933,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ADELANTO,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
1030231,1030231,170060299,303,303,Csm Consulting Inc.,kfriends@csmcentral.com,School District,JANESVILLE,CA,70 %,70 %,Internal Connections,Wireless Controller,0
706934,706934,170054974,5683,5683,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
475413,475413,170055157,5849,5849,Csm Consulting Inc.,kfriends@csmcentral.com,School District,DOS PALOS,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,0
1366332,1366332,170066253,71420,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Wap,71420
508056,508056,170052240,53123,48602,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,4521
1549301,1549301,170065593,11870,11870,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
932887,932887,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
932799,932799,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,0
977910,977910,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Cabling,0
1370784,1370784,170066253,29714,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Switches,29714
236528,236528,170051028,88200,88200,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,90 %,90 %,Internet Access And/Or Telecommunications,Lit Fiber Service,0
747319,747319,170049563,45648,45648,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,90 %,90 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
808539,808539,170061969,2292,1580,Mattison Enterprises,loy@surewest.net,School District,FAIRFIELD,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",712
1155129,1155129,170050700,4000,4000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,HERLONG,CA,80 %,80 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1635105,1635105,170078457,37896,37896,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PERRIS,CA,85 %,85 %,Internal Connections,Router,0
512845,512845,170052240,41508,37495,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85 %,85 %,Internal Connections,Ups/Battery Backup,4013
554915,554915,170064796,53204,53204,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Managed Internal Broadband Services,Existing Equipment,0
1453347,1453347,170074618,4271,2912,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wap,1359
610603,610603,170048326,7514,0,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85 %,85 %,Internal Connections,Switches,7514
829816,829816,170058874,48639,48639,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALO ALTO,CA,40 %,40 %,Internal Connections,Wireless Controller,0
884904,884904,170061576,11000,11000,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
676357,676357,170047995,49988,49988,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85 %,85 %,Internal Connections,Switches,0
841591,841591,170061576,291,291,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Cabling,0
605561,605561,170048326,7922,7922,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,TULARE,CA,85 %,85 %,Internal Connections,Racks,0
805868,805868,170061969,2292,1580,Mattison Enterprises,loy@surewest.net,School District,FAIRFIELD,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",712
1664429,1664429,170070395,70074,70074,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,RICHMOND,CA,80 %,80 %,Internal Connections,Cabling,0
837921,837921,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
930710,930710,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wap,0
1545391,1545391,170065593,46363,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,46363
1552835,1552835,170065593,14620,0,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Wap,14620
677669,677669,170047995,48456,48456,Csm Consulting Inc.,kfriends@csmcentral.com,School District,PALM SPRINGS,CA,85 %,85 %,Internal Connections,Switches,0
1492909,1492909,170073367,26090,0,David Sonderegger,DWSONDE@COMCAST.NET,School District,MONTEREY,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Switches,26090
940766,940766,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Cabling,0
1298392,1298392,170060899,94121,94121,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LANCASTER,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
550051,550051,170064796,53745,53745,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80 %,80 %,Managed Internal Broadband Services,Existing Equipment,0
1588910,1588910,170059697,17515,17515,Csm Consulting Inc.,kfriends@csmcentral.com,School District,Claremont,CA,40 %,40 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
1001649,1001649,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Cabling,0
635343,635343,170048326,191315,59763,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,TULARE,CA,85 %,85 %,Internal Connections,Cabling,131552
1258712,1258712,170064914,37740,37740,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Basic Maintenance Of Internal Connections,Switches,0
1297205,1297205,170063698,6734,6734,E-Rate Central,whimsworth@e-ratecentral.com,School District,LA CANADA,CA,40 %,40 %,Internal Connections,Wap,0
753582,753582,170049563,7322,7322,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30 %,30 %,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
1645147,1645147,170068138,65131,65131,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,85 %,85 %,Internal Connections,Ups/Battery Backup,0
537276,537276,170058731,1246,1246,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WINTERS,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1257316,1257316,170064914,45138,45138,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1262435,1262435,170064914,22929,22929,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
898383,898383,170061576,30251,30251,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
1464956,1464956,170055114,24139,24139,Csm Consulting Inc.,kfriends@csmcentral.com,School District,EL CAJON,CA,80 %,80 %,Internal Connections,Wireless Controller,0
995472,995472,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,"Antennas, Connectors, And Related Components",0
711721,711721,170054974,4794,4794,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85 %,85 %,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
546634,546634,170064796,1912,1912,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,20 %,20 %,Basic Maintenance Of Internal Connections,Switches,0
1503821,1503821,170063442,3588,2638,Infinity Communications & Consulting,fred.brakeman@infinitycomm.com,School District,LONG BEACH,CA,80 %,80 %,Internal Connections,Ups/Battery Backup,950
1273339,1273339,170064914,43522,43522,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85 %,85 %,Internal Connections,"Antennas, Connectors, And Related Components",0
416400,416400,170064861,2815,0,Mattison Enterprises,loy@surewest.net,School District,ROSEVILLE,CA,50 %,50 %,Internal Connections,"Antennas, Connectors, And Related Components",2815
850065,850065,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Basic Maintenance Of Internal Connections,Wireless Controller,0
1015150,1015150,170061576,802,802,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wireless Controller,0
964885,964885,170061576,948,948,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Cabling,0
424684,424684,170052386,4626,3978,Csm Consulting Inc.,kfriends@csmcentral.com,School District,TEMPLETON,CA,40 %,40 %,Basic Maintenance Of Internal Connections,Switches,648
982511,982511,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80 %,80 %,Internal Connections,Wireless Controller,0
1436271,1436271,170066253,36221,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Switches,36221
1353141,1353141,170066253,4035,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50 %,50 %,Internal Connections,Wireless Controller,4035
1684301,1684301,170069647,0,4903,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,LOS ANGELES,CA,0 %,30 %,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,-4903
1093661,1093661,170049302,8325,8388,E-Rate Online Llc,msagnella@erateportal.com,School District,CARMEL,CA,50 %,50 %,Basic Maintenance Of Internal Connections,Router,-63
